Coded Value,Type of Projection,Applies to Database Schema
2703,"STATE PLANE TRANSVERSE MERCATOR, NEVADA WEST ZONE","FIRM, FRD"
2703H,"HARN STATE PLANE TRANSVERSE MERCATOR, NEVADA WEST ZONE","FIRM, FRD"
2800,"STATE PLANE LAMBERT CONFORMAL CONIC, NEW HAMPSHIRE ZONE","FIRM, FRD"
2800H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, NEW HAMPSHIRE ZONE","FIRM, FRD"
2900,"STATE PLANE TRANSVERSE MERCATOR, NEW JERSEY ZONE","FIRM, FRD"
2900H,"HARN STATE PLANE TRANSVERSE MERCATOR, NEW JERSEY ZONE","FIRM, FRD"
3001,"STATE PLANE TRANSVERSE MERCATOR, NEW MEXICO EAST ZONE","FIRM, FRD"
3001H,"HARN STATE PLANE TRANSVERSE MERCATOR, NEW MEXICO EAST ZONE","FIRM, FRD"
3002,"STATE PLANE TRANSVERSE MERCATOR, NEW MEXICO CENTRAL ZONE","FIRM, FRD"
3002H,"HARN STATE PLANE TRANSVERSE MERCATOR, NEW MEXICO CENTRAL ZONE","FIRM, FRD"
3003,"STATE PLANE TRANSVERSE MERCATOR, NEW MEXICO WEST ZONE","FIRM, FRD"
3003H,"HARN STATE PLANE TRANSVERSE MERCATOR, NEW MEXICO WEST ZONE","FIRM, FRD"
3101,"STATE PLANE TRANSVERSE MERCATOR, NEW YORK EAST ZONE","FIRM, FRD"
3101H,"HARN STATE PLANE TRANSVERSE MERCATOR, NEW YORK EAST ZONE","FIRM, FRD"
3102,"STATE PLANE TRANSVERSE MERCATOR, NEW YORK CENTRAL ZONE","FIRM, FRD"
3102H,"HARN STATE PLANE TRANSVERSE MERCATOR, NEW YORK CENTRAL ZONE","FIRM, FRD"
3103,"STATE PLANE TRANSVERSE MERCATOR, NEW YORK WEST ZONE","FIRM, FRD"
3103H,"HARN STATE PLANE TRANSVERSE MERCATOR, NEW YORK WEST ZONE","FIRM, FRD"
3104,"STATE PLANE LAMBERT CONFORMAL CONIC, NEW YORK LONG ISLAND ZONE","FIRM, FRD"
3104H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, NEW YORK LONG ISLAND ZONE","FIRM, FRD"
3200,"STATE PLANE LAMBERT CONFORMAL CONIC, NORTH CAROLINA ZONE","FIRM, FRD"
3301,"STATE PLANE LAMBERT CONFORMAL CONIC, NORTH DAKOTA NORTH ZONE","FIRM, FRD"
3301H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, NORTH DAKOTA NORTH ZONE","FIRM, FRD"
3302,"STATE PLANE LAMBERT CONFORMAL CONIC, NORTH DAKOTA SOUTH ZONE","FIRM, FRD"
3302H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, NORTH DAKOTA SOUTH ZONE","FIRM, FRD"
3401,"STATE PLANE LAMBERT CONFORMAL CONIC, OHIO NORTH ZONE","FIRM, FRD"
3401H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, OHIO NORTH ZONE","FIRM, FRD"
3402,"STATE PLANE LAMBERT CONFORMAL CONIC, OHIO SOUTH ZONE","FIRM, FRD"
3402H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, OHIO SOUTH ZONE","FIRM, FRD"
3501,"STATE PLANE LAMBERT CONFORMAL CONIC, OKLAHOMA NORTH ZONE","FIRM, FRD"
3501H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, OKLAHOMA NORTH ZONE","FIRM, FRD"
3502,"STATE PLANE LAMBERT CONFORMAL CONIC, OKLAHOMA SOUTH ZONE","FIRM, FRD"
3502H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, OKLAHOMA SOUTH ZONE","FIRM, FRD"
3601,"STATE PLANE LAMBERT CONFORMAL CONIC, OREGON NORTH ZONE","FIRM, FRD"
3601H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, OREGON NORTH ZONE","FIRM, FRD"
3602,"STATE PLANE LAMBERT CONFORMAL CONIC, OREGON SOUTH ZONE","FIRM, FRD"
3602H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, OREGON SOUTH ZONE","FIRM, FRD"
3701,"STATE PLANE LAMBERT CONFORMAL CONIC, PENNSYLVANIA NORTH ZONE","FIRM, FRD"
3702,"STATE PLANE LAMBERT CONFORMAL CONIC, PENNSYLVANIA SOUTH ZONE","FIRM, FRD"
3800,"STATE PLANE TRANSVERSE MERCATOR, RHODE ISLAND ZONE","FIRM, FRD"
3800H,"HARN STATE PLANE TRANSVERSE MERCATOR, RHODE ISLAND ZONE","FIRM, FRD"
3900,"STATE PLANE LAMBERT CONFORMAL CONIC, SOUTH CAROLINA ZONE","FIRM, FRD"
4001,"STATE PLANE LAMBERT CONFORMAL CONIC, SOUTH DAKOTA NORTH ZONE","FIRM, FRD"
4001H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, SOUTH DAKOTA NORTH ZONE","FIRM, FRD"
4002,"STATE PLANE LAMBERT CONFORMAL CONIC, SOUTH DAKOTA SOUTH ZONE","FIRM, FRD"
4002H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, SOUTH DAKOTA SOUTH ZONE","FIRM, FRD"
4100,"STATE PLANE LAMBERT CONFORMAL CONIC, TENNESSEE ZONE","FIRM, FRD"
4100H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, TENNESSEE ZONE","FIRM, FRD"
4201,"STATE PLANE LAMBERT CONFORMAL CONIC, TEXAS NORTH ZONE","FIRM, FRD"
4201H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, TEXAS NORTH ZONE","FIRM, FRD"
4202,"STATE PLANE LAMBERT CONFORMAL CONIC, TEXAS NORTH CENTRAL ZONE","FIRM, FRD"
4202H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, TEXAS NORTH CENTRAL ZONE","FIRM, FRD"
4203,"STATE PLANE LAMBERT CONFORMAL CONIC, TEXAS CENTRAL ZONE","FIRM, FRD"
4203H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, TEXAS CENTRAL ZONE","FIRM, FRD"
4204,"STATE PLANE LAMBERT CONFORMAL CONIC, TEXAS SOUTH CENTRAL ZONE","FIRM, FRD"
4204H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, TEXAS SOUTH CENTRAL ZONE","FIRM, FRD"
4205,"STATE PLANE LAMBERT CONFORMAL CONIC, TEXAS SOUTH ZONE","FIRM, FRD"
4205H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, TEXAS SOUTH ZONE","FIRM, FRD"
4301,"STATE PLANE LAMBERT CONFORMAL CONIC, UTAH NORTH ZONE","FIRM, FRD"
4301H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, UTAH NORTH ZONE","FIRM, FRD"
4302,"STATE PLANE LAMBERT CONFORMAL CONIC, UTAH CENTRAL ZONE","FIRM, FRD"
4302H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, UTAH CENTRAL ZONE","FIRM, FRD"
4303,"STATE PLANE LAMBERT CONFORMAL CONIC, UTAH SOUTH ZONE","FIRM, FRD"
4303H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, UTAH SOUTH ZONE","FIRM, FRD"
4400,"STATE PLANE TRANSVERSE MERCATOR, VERMONT ZONE","FIRM, FRD"
4400H,"HARN STATE PLANE TRANSVERSE MERCATOR, VERMONT ZONE","FIRM, FRD"
4501,"STATE PLANE LAMBERT CONFORMAL CONIC, VIRGINIA NORTH ZONE","FIRM, FRD"
4501H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, VIRGINIA NORTH ZONE","FIRM, FRD"
4502,"STATE PLANE LAMBERT CONFORMAL CONIC, VIRGINIA SOUTH ZONE","FIRM, FRD"
4502H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, VIRGINIA SOUTH ZONE","FIRM, FRD"
4601,"STATE PLANE LAMBERT CONFORMAL CONIC, WASHINGTON NORTH ZONE","FIRM, FRD"
4601H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, WASHINGTON NORTH ZONE","FIRM, FRD"
4602,"STATE PLANE LAMBERT CONFORMAL CONIC, WASHINGTON SOUTH ZONE","FIRM, FRD"
4602H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, WASHINGTON SOUTH ZONE","FIRM, FRD"
4701,"STATE PLANE LAMBERT CONFORMAL CONIC, WEST VIRGINIA NORTH ZONE","FIRM, FRD"
4701H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, WEST VIRGINIA NORTH ZONE","FIRM, FRD"
4702,"STATE PLANE LAMBERT CONFORMAL CONIC, WEST VIRGINIA SOUTH ZONE","FIRM, FRD"
4702H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, WEST VIRGINIA SOUTH ZONE","FIRM, FRD"
4801,"STATE PLANE LAMBERT CONFORMAL CONIC, WISCONSIN NORTH ZONE","FIRM, FRD"
4801H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, WISCONSIN NORTH ZONE","FIRM, FRD"
4802,"STATE PLANE LAMBERT CONFORMAL CONIC, WISCONSIN CENTRAL ZONE","FIRM, FRD"
4802H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, WISCONSIN CENTRAL ZONE","FIRM, FRD"
4803,"STATE PLANE LAMBERT CONFORMAL CONIC, WISCONSIN SOUTH ZONE","FIRM, FRD"
4803H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, WISCONSIN SOUTH ZONE","FIRM, FRD"
4901,"STATE PLANE TRANSVERSE MERCATOR, WYOMING EAST ZONE","FIRM, FRD"
4901H,"HARN STATE PLANE TRANSVERSE MERCATOR, WYOMING EAST ZONE","FIRM, FRD"
4902,"STATE PLANE TRANSVERSE MERCATOR, WYOMING EAST CENTRAL ZONE","FIRM, FRD"
4902H,"HARN STATE PLANE TRANSVERSE MERCATOR, WYOMING EAST CENTRAL ZONE","FIRM, FRD"
4903,"STATE PLANE TRANSVERSE MERCATOR, WYOMING WEST CENTRAL ZONE","FIRM, FRD"
4903H,"HARN STATE PLANE TRANSVERSE MERCATOR, WYOMING WEST CENTRAL ZONE","FIRM, FRD"
4904,"STATE PLANE TRANSVERSE MERCATOR, WYOMING WEST ZONE","FIRM, FRD"
4904H,"HARN STATE PLANE TRANSVERSE MERCATOR, WYOMING WEST ZONE","FIRM, FRD"
5001,"STATE PLANE HOTINE OBLIQUE MERCATOR, ALASKA 1 ZONE","FIRM, FRD"
5002,"STATE PLANE TRANSVERSE MERCATOR, ALASKA 2 ZONE","FIRM, FRD"
5003,"STATE PLANE TRANSVERSE MERCATOR, ALASKA 3 ZONE","FIRM, FRD"
5004,"STATE PLANE TRANSVERSE MERCATOR, ALASKA 4 ZONE","FIRM, FRD"
5005,"STATE PLANE TRANSVERSE MERCATOR, ALASKA 5 ZONE","FIRM, FRD"
5006,"STATE PLANE TRANSVERSE MERCATOR, ALASKA 6 ZONE","FIRM, FRD"
5007,"STATE PLANE TRANSVERSE MERCATOR, ALASKA 7 ZONE","FIRM, FRD"
5008,"STATE PLANE TRANSVERSE MERCATOR, ALASKA 8 ZONE","FIRM, FRD"
5009,"STATE PLANE TRANSVERSE MERCATOR, ALASKA 9 ZONE","FIRM, FRD"
5010,"STATE PLANE LAMBERT CONFORMAL CONIC, ALASKA 10 ZONE","FIRM, FRD"
5101,"STATE PLANE TRANSVERSE MERCATOR, HAWAII 1 ZONE","FIRM, FRD"
5101H ,"HARN STATE PLANE TRANSVERSE MERCATOR, HAWAII 1 ZONE","FIRM, FRD"
5102,"STATE PLANE TRANSVERSE MERCATOR, HAWAII 2 ZONE","FIRM, FRD"
5102H,"HARN STATE PLANE TRANSVERSE MERCATOR, HAWAII 2 ZONE","FIRM, FRD"
5103,"STATE PLANE TRANSVERSE MERCATOR, HAWAII 3 ZONE","FIRM, FRD"
5103H,"HARN STATE PLANE TRANSVERSE MERCATOR, HAWAII 3 ZONE","FIRM, FRD"
5104,"STATE PLANE TRANSVERSE MERCATOR, HAWAII 4 ZONE","FIRM, FRD"
5104H,"HARN STATE PLANE TRANSVERSE MERCATOR, HAWAII 4 ZONE","FIRM, FRD"
5105,"STATE PLANE TRANSVERSE MERCATOR, HAWAII 5 ZONE","FIRM, FRD"
5105H,"HARN STATE PLANE TRANSVERSE MERCATOR, HAWAII 5 ZONE","FIRM, FRD"
5200,"STATE PLANE LAMBERT CONFORMAL CONIC, PR VIRGIN ISLANDS ZONE","FIRM, FRD"
5200H,"HARN STATE PLANE LAMBERT CONFORMAL CONIC, PR ISLANDS ZONE","FIRM, FRD"
5201,"STATE PLANE LAMBERT CONFORMAL CONIC, PUERTO RICO ZONE","FIRM, FRD"
5202,"STATE PLANE LAMBERT CONFORMAL CONIC, PR VIRGIN I ST CROIX ZONE","FIRM, FRD"
5300,"STATE PLANE LAMBERT CONFORMAL CONIC, AMERICAN SAMOA ZONE","FIRM, FRD"
5400,"STATE PLANE POLYCONIC, GUAM ZONE","FIRM, FRD"
9000,OTHER,"FIRM, FRD"
GCS,GEOGRAPHIC COORDINATE SYSTEM,"FIRM, NFHL, FRD"
UTM,UNIVERSAL TRANSVERSE MERCATOR,"FIRM, FRD"
WGS,WGS 1984 WEB MERCATOR (AUXILIARY SPHERE),NFHL
NP,NP,FIRM
