Coded Value,Projection Zone,Applies to Database Schema
0302,0302,FIRM
0401,0401,FIRM
0402,0402,FIRM
0403,0403,FIRM
0404,0404,FIRM
0405,0405,FIRM
0406,0406,FIRM
0501,0501,FIRM
0502,0502,FIRM
0503,0503,FIRM
0600,0600,FIRM
0700,0700,FIRM
0901,0901,FIRM
0902,0902,FIRM
0903,0903,FIRM
1001,1001,FIRM
1002,1002,FIRM
1101,1101,FIRM
1102,1102,FIRM
1103,1103,FIRM
1201,1201,FIRM
1202,1202,FIRM
1301,1301,FIRM
1302,1302,FIRM
1401,1401,FIRM
1402,1402,FIRM
1501,1501,FIRM
1502,1502,FIRM
1600,1600,FIRM
1601,1601,FIRM
1602,1602,FIRM
1701,1701,FIRM
1702,1702,FIRM
1801,1801,FIRM
1802,1802,FIRM
1900,1900,FIRM
2001,2001,FIRM
2002,2002,FIRM
2111,2111,FIRM
2112,2112,FIRM
2113,2113,FIRM
2201,2201,FIRM
2202,2202,FIRM
2203,2203,FIRM
2301,2301,FIRM
2302,2302,FIRM
2401,2401,FIRM
2402,2402,FIRM
2403,2403,FIRM
2500,2500,FIRM
2600,2600,FIRM
2701,2701,FIRM
2702,2702,FIRM
2703,2703,FIRM
2800,2800,FIRM
2900,2900,FIRM
3001,3001,FIRM
3002,3002,FIRM
3003,3003,FIRM
3101,3101,FIRM
3102,3102,FIRM
3103,3103,FIRM
3104,3104,FIRM
3200,3200,FIRM
3301,3301,FIRM
3302,3302,FIRM
3401,3401,FIRM
3402,3402,FIRM
3501,3501,FIRM
3502,3502,FIRM
3601,3601,FIRM
3602,3602,FIRM
3701,3701,FIRM
3702,3702,FIRM
3800,3800,FIRM
3900,3900,FIRM
4001,4001,FIRM
4002,4002,FIRM
4100,4100,FIRM
4201,4201,FIRM
4202,4202,FIRM
4203,4203,FIRM
4204,4204,FIRM
4205,4205,FIRM
4301,4301,FIRM
4302,4302,FIRM
4303,4303,FIRM
4400,4400,FIRM
4501,4501,FIRM
4502,4502,FIRM
4601,4601,FIRM
4602,4602,FIRM
4701,4701,FIRM
4702,4702,FIRM
4801,4801,FIRM
4802,4802,FIRM
4803,4803,FIRM
4901,4901,FIRM
4902,4902,FIRM
4903,4903,FIRM
4904,4904,FIRM
5001,5001,FIRM
5002,5002,FIRM
5003,5003,FIRM
5004,5004,FIRM
5005,5005,FIRM
5006,5006,FIRM
5007,5007,FIRM
5008,5008,FIRM
5009,5009,FIRM
5010,5010,FIRM
5101,5101,FIRM
5102,5102,FIRM
5103,5103,FIRM
5104,5104,FIRM
5105,5105,FIRM
5200,5200,FIRM
5201,5201,FIRM
5202,5202,FIRM
5300,5300,FIRM
5400,5400,FIRM
9000,9000,FIRM
NP,NP,FIRM
